source_report,finding_id,creator_or_channel,date,video_title,video_url,video_id,evidence_excerpt,timestamp,category_or_rule,severity,confidence,classification,missing_context,required_follow_up
"agent-findings-aundrea.md","A-08","Aundrea Dudik / Living in Central Texas","2025-02-07","Inside a $15 Million Central Texas Ranch","https://www.youtube.com/watch?v=nY2c1YfRnQU","nY2c1YfRnQU","Description: “25 minutes from Fort Cavazos – Ideal for military families or investment rental potential.”","Description","FHA §3604(c); TREC 531.19","High","High excerpt; moderate legal-risk","Potential familial-status advertising issue; not adjudicated","Normal broker/counsel review","Use neutral commute/feature wording"
"agent-findings-aundrea.md","A-09","Aundrea Dudik / Living in Central Texas","2025-01-08","Belton Texas EXPLAINED","https://www.youtube.com/watch?v=IPiZW0oyOOQ","IPiZW0oyOOQ","Description: “Located near Fort Cavazos, Belton is a top choice for military families.”","Description","FHA §3604(c); TREC 531.19","Medium","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; market/generalization, not explicit exclusion","Normal broker/counsel review","Use neutral commute/feature wording"
"agent-findings-aundrea.md","A-10","Aundrea Dudik / Living in Central Texas","2025-03-21","Temple TX Best New Construction Homes — Mesa Ridge","https://www.youtube.com/watch?v=H0OpYIiF1P4","H0OpYIiF1P4","Description: “a top choice for families prioritizing strong school districts!”","Description","FHA §3604(c); TREC 531.19","Medium","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; school statement not independently classified","Verify school characterization with cited source","Use neutral property/amenity facts"
"agent-findings-aundrea.md","A-11","Aundrea Dudik / Living in Central Texas","2025-03-14","Like-New Home in Nolanville TX","https://www.youtube.com/watch?v=D4_9pIaYPy4","D4_9pIaYPy4","Description: “an excellent choice for families seeking top-rated schools and a prime location.”","Description","FHA §3604(c); TREC 531.19","Medium","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; school assertion separately needs source review","School source verification","Use neutral property/amenity facts"
"agent-findings-aundrea.md","A-12","Aundrea Dudik / Living in Central Texas","2025-02-18","Austin vs Temple vs Belton","https://www.youtube.com/watch?v=mzBB7iNhtQc","mzBB7iNhtQc","Description chapter: “Affordable, Growing, & Family-Friendly City of Temple & Belton TX.”","Description chapter 08:59","FHA §3604(c); TREC 531.19","Medium","High excerpt; moderate legal-risk","Potential fair-housing advertising issue; chapter/description wording","No caption-supported spoken quote","Use neutral city/property facts"
"agent-findings-aundrea.md","V-01","Aundrea Dudik / Living in Central Texas","2025-03-28","Top 3 Neighborhoods for Medical Professionals","https://www.youtube.com/watch?v=P9jJVjuKt-Q","P9jJVjuKt-Q","“0% down Loan program,” “7/1 adjustable rate mortgage,” “lower interest rate,” and a 30-year fixed option. Description calls it “exclusive lending programs, including 0% down options for medical professionals.”","00:09:16–00:09:43","Truth-in-Lending/Reg Z; lender/NMLS; fair-lending; RESPA safeguards","Not stated","Not stated","Targeted verification item; not asserted violation","Creditor status, compensation, terms, APR, sponsorship","Broker/lender counsel review for Reg Z disclosures, lender identity/NMLS, fair-lending availability, and RESPA safeguards"
"agent-findings-aundrea.md","V-02","Aundrea Dudik / Living in Central Texas","Current channel / oldest reviewed video 2024-09-20","Channel-level disclosure path; Inside A $1.1 MILLION Belton Texas Home","https://www.youtube.com/watch?v=b6VmZT7Qgus","b6VmZT7Qgus","Current About markets services and shows phone/email but does not itself display broker name, IABS, or CPN. Current descriptions link livinginctx.com footer with CPN/IABS. Oldest reviewed video has broker identification but no IABS/site link in description.","Channel-level","TREC 535.155; TREC 531.18 and 531.20","Not stated","Not stated","Verification item; report expressly alleges no missing-disclosure violation","Visual/profile-link evidence for oldest video; link labels and sponsoring-broker identity","Keep broker/CPN/IABS link in About/profile; confirm labels and broker identity"
"agent-findings-aundrea.md","V-03","Aundrea Dudik / Living in Central Texas","Across channel","School / medical / military statements","","","Named ISDs, “top-rated” school characterizations, hospitals, Fort Cavazos proximity, and occupation-oriented relocation content.","N/A","Source verification / neutral-location information","Not stated","Not stated","Targeted verification item; factual geographic/school/medical information not automatically steering","Time-sensitive school-performance sources","Source school claims; point viewers to official sources; keep recommendations property/commute/amenity based"
"agent-findings-local-batch.md","LB-01","Mallory Anthony","2026-04-13","4 Bed Home on HALF ACRE in Rogers, TX | Priced Below Appraisal 👀 Instant Equity Opportunity!","https://www.youtube.com/watch?v=vo-XdLuZAJo","vo-XdLuZAJo","Description: “priced below appraised value, giving buyers the chance to walk in with instant equity.”","Description","Texas misleading-advertising / substantiation","Moderate","High quoted-language","Substantiation-risk item; not adjudicated","Listing price; appraisal document/date; applicability; visual text","Retain dated appraisal basis; do not present equity as assured"
"agent-findings-local-batch.md","LB-02","John Hayes","2025-11-06","Why Everyone’s Moving to Three River, Belton TX","https://www.youtube.com/watch?v=RthpRSOOW88","RthpRSOOW88","Description calls property “perfect for families, retirees.”","Description","FHA §804(c) / 24 C.F.R. §100.75; age/HOPA review","High","High","Potential preference-language review flag; not exclusion finding","Whether lawful older-person housing; neutral features","Replace with property-neutral features"
"agent-findings-local-batch.md","LB-03","John Hayes","2025-11-06","Why Everyone’s Moving to Three River, Belton TX","https://www.youtube.com/watch?v=RthpRSOOW88","RthpRSOOW88","“a 3.99% annual percentage rate”; “take advantage of the 3.99% APR offer.”","00:00:39; 00:03:45","Mortgage/credit advertising; TREC misleading-advertising","High","High","Material-terms verification flag; not final classification","Lender, program type, term, points/fees, qualification, expiration, on-screen disclosure","Frame-review video for terms/lender attribution"
"agent-findings-local-batch.md","LB-04","John Hayes","2025-12-17","Fort Hood Housing Guide 2025: Killeen, Harker Heights, Copperas Cove, Temple and Belton","https://www.youtube.com/watch?v=B0M411DjiwE","B0M411DjiwE","Discusses “schools for the kids,” “spousal employment opportunities,” “best medical facilities,” then says “I can map out the best neighborhoods for you and your family.”","00:00:14–00:00:20; 00:00:29–00:00:33","Fair-housing steering review","Moderate","High","Steering-risk flag; excerpt does not prove discriminatory conduct","Actual consultation practice; neutral written criteria","Give neutral criteria and official links rather than personalized “best neighborhoods”"
"agent-findings-local-batch.md","LB-05","Mathew Dick / Military Living in Central Texas","2026-05-08","TOP 6 Amenity-Rich Communities in Killeen Texas!","https://www.youtube.com/watch?v=p0b2HmyuJQw","p0b2HmyuJQw","“family-friendly communities”; “best for … military families”; “really good schools” and “perfect for families”; “best for families.”","00:00:52–00:00:54; 00:01:37–00:01:44; 00:02:18–00:02:25; 00:02:50–00:02:53; 00:03:32–00:03:35","FHA §804(c); subjective-school steering","High","High","Potential familial-status preference / steering review","Official school source; qualifying screen language","Use neutral amenity and official-school-source language"
"agent-findings-local-batch.md","LB-06","Mathew Dick / Military Living in Central Texas","2026-05-01","DON'T Move to KILLEEN Texas Until You Watch This!","https://www.youtube.com/watch?v=gPwuHFSaqOU","gPwuHFSaqOU","“crime, safety concerns, certain neighborhoods”; one street “feels quiet and family-friendly”; “more rental-heavy neighborhoods” and “home values and neighborhood consistency.”","00:02:07–00:02:13; 00:02:24–00:02:27; 00:02:57–00:03:11","Post-2026 HUD-nuance crime/safety and neighborhood-composition review","Moderate","High","Not a per se ban; contextual steering-review flag","Public-safety datasets, geographic/time definitions, on-screen sourcing","Use objective sourced data and avoid subjective safety/family desirability/rental-composition recommendations"
"agent-findings-local-batch.md","LB-07","Mathew Dick / Military Living in Central Texas","2026-01-23","Top 5 Cities EVERYONE is MOVING TO in Central Texas in 2026","https://www.youtube.com/watch?v=R69ScZkadjM","R69ScZkadjM","Description: “the best towns for families, retirees”; “a great family home”; “a value play with a massive upside”; “the family who wants stability and space”; “smart long-term bet.”","Description; 00:05:00–00:05:11; 00:06:08–00:06:11; 00:07:43","FHA §804(c)/age preference; investment-performance substantiation","High","High","Potential preference and unsupported-outcome review","Sources/dates for price/upside; neutral alternatives","Use neutral features and substantiate/qualify investment claims"
"agent-findings-local-batch.md","LB-08","Mathew Dick / Military Living in Central Texas","2025-03-14","Step Inside! FREE Solar Panels Make This Home Near Fort Cavazos a STEAL","https://www.youtube.com/watch?v=ys6_k7DqvlI","ys6_k7DqvlI","Title/description: “FREE solar panels” and “offers everything a military family or homebuyer could want.”","Title/description","Misleading-advertising / solar-transfer terms","Moderate","High","Verification flag; not conclusion","Ownership, lease/PPA/lien/transfer terms, balance, UCC, utility terms","Verify terms before calling solar “free”"
"agent-findings-local-batch.md","LB-09","Mathew Dick / Military Living in Central Texas","2026-05-08","TOP 6 Amenity-Rich Communities in Killeen Texas!","https://www.youtube.com/watch?v=p0b2HmyuJQw","p0b2HmyuJQw","Communities “actually hold their value.”","00:01:00–00:01:02","Misleading-advertising / value substantiation","Moderate","High","Substantiation-risk item","Dataset, dates, property type, sales-volume threshold, source","Define period/unit and source; avoid assured outcome"
"agent-findings-local-batch.md","LB-10","Jacob Martinez / LIVING IN CENTRAL TEXAS","Current channel","Channel-level advertising identity","https://www.youtube.com/@livingincentraltexas254","UCvyNP3_ZgVLciAIev5t2Gog","Profile contains only call/text number and Calendly CTA; does not identify Jacob Martinez, license status, or sponsoring broker; audited videos are real-estate relocation/listing content.","Channel profile","TREC identity/broker disclosure","Moderate","High","Follow-up, not completed violation","Banner, every end card, pinned comments, landing-page footer/CPN/IABS","Review all paths before conclusion"
"agent-findings-local-batch.md","LB-11","Jacob Martinez / LIVING IN CENTRAL TEXAS","2025-04-18","10 MUST-ASK Questions BEFORE Choosing a Neighborhood in Central Texas","https://www.youtube.com/watch?v=4yooPsq8qio","4yooPsq8qio","Asks “what kind of people typically live here? … families, young professionals, retirees”; asks whether school ratings are “good” or “awful”; discusses “greatest school” and “great schools for your children.”","00:01:51–00:01:53; 00:06:25–00:06:26; 00:07:53–00:08:18","FHA steering review; subjective-school sourcing","High","High","Steering/substantiation review flag","Official sources; neutral/recommendation practice","Use objective district/accountability links; avoid demographic composition / “best” advice"
"agent-findings-local-batch.md","LB-12","Jacob Martinez / LIVING IN CENTRAL TEXAS","2025-06-17","Top 5 Central Texas Cities With Homes Under $600K — For Families & Investors","https://www.youtube.com/watch?v=Q3Nf6sKuR0M","Q3Nf6sKuR0M","“growing family” and cities offering “the best lifestyle, schools, and long-term value”; recommends Cedar Park for “highly rated schools”; calls Round Rock a “high family reputation city,” cites “strong safety records,” and says mothers/females are more concerned about crime/safety; promises “steady appreciation.”","00:00:20–00:00:28; 00:05:58–00:06:00; 00:11:48–00:12:57; 00:13:48–00:13:50","Familial-status/steering; school/crime sourcing; investment claim","High","High","Contextual review flag; not adjudicated","School/crime sources/date range; price/inventory source; appreciation data","Use sources and neutral alternatives; qualify outcome"
"agent-findings-local-batch.md","LB-13","Jacob Martinez / LIVING IN CENTRAL TEXAS","2025-06-03","Living in Texas VS New York: Which State Gives Your Kids a BETTER Future?","https://www.youtube.com/watch?v=2EtGu8yUhQk","2EtGu8yUhQk","Title targets households with children and promises a “BETTER Future.” Says some schools “may not be performing well” and offers to locate private schools for clients.","Title; 00:09:07–00:09:11; 00:09:37–00:09:43","Familial-status targeting; subjective-school steering","Moderate","High","Review flag; not ban on school-option information","School sources; neutral criteria in client assistance","Use neutral source safeguards"
"agent-findings-local-batch.md","LB-14","Jacob Martinez / LIVING IN CENTRAL TEXAS","2025-01-29","Why ESTANCIA WEST Is The Hottest Neighborhood In Killeen Texas Right NOW","https://www.youtube.com/watch?v=O9yAhXKZJbA","O9yAhXKZJbA","Description calls it “a fantastic option for families, professionals, and anyone looking for a great investment.”","Description","FHA familial-status advertising; investment endorsement","Moderate","High","Potential preference/substantiation review","Neutral property details; investment support","Use neutral features and qualify investment proposition"
"agent-findings-local-batch.md","LB-15","Trent Babb","2026-07-09","Bell County Land Prices Down 14% | Buyers Have the Upper Hand Now","https://www.youtube.com/watch?v=gT_qkJLFkOs","gT_qkJLFkOs","Title: “Land Prices Down 14%”; description has examples but no source, time window, geography, or property type.","Title/description","TREC misleading-advertising / volatile market fact","High","High","Substantiation-risk item","MLS/land-record source, dates, median/average method, acreage segment, methodology","Retain source and methodology"
"agent-findings-local-batch.md","LB-16","Trent Babb","2025-12-13","3.41 Acres, Pre-Approved Gas Station, $176K Year 1 Profit—Is This Your Next Investment?","https://www.youtube.com/watch?v=XTIn4-nXAZg","XTIn4-nXAZg","Title: “$176K Year 1 Profit”; description: feasibility study “projecting $176,016 annual net profit in Year 1.”","Title/description","Investment-performance advertising","High","High","High-risk performance-review; projected wording mitigates","Study author/date, assumptions, capital/debt costs, compensation, taxes, contingencies, visual disclosures","Show assumptions/no-guarantee and accessible study"
"agent-findings-local-batch.md","LB-17","Trent Babb","2025-08-15","Should You Sell Your Salado Land Now or Risk Losing Value in 2025?","https://www.youtube.com/watch?v=zleZN84Zs-Y","zleZN84Zs-Y","Title/description: “risk losing value” and “Don’t risk missing your window.”","Title/description","Misleading-advertising / market prediction","Moderate","High","Fear-based prediction review","Sales/inventory data, period, segment, contrary risks","Identify data and uncertainty"
"agent-findings-local-batch.md","LB-18","Trent Babb","2025-08-08","Which Texas Town Will Save You $75,000?","https://www.youtube.com/watch?v=4knnkLiSO_k","4knnkLiSO_k","“$75,000 more or $300 less in rent”; Belton has “stronger appreciation than Temple”; premium school districts make it “ideal” for buy-and-hold investment; “families with school-age children prioritize Belton and Salado.”","00:00:21–00:00:25; 00:01:46–00:01:49; 00:05:51–00:05:53; 00:08:14–00:08:17","Savings/appreciation substantiation; school-aged-family steering","High","High","Review flag; not conclusion","Same-property comparison; sources/method; school source; neutral alternatives","Substantiate figures and avoid demographic routing"
"agent-findings-local-batch.md","LB-19","Trent Babb","2025-07-26","Is Belton Texas the Next Big Thing for Investors?","https://www.youtube.com/watch?v=oMaddpXvp3w","oMaddpXvp3w","“families still want to live in Belton ISD” and “better schools equal higher home values and faster sales”; “More families means stronger retail demand”; calls Belton a “strong play” for cash-flowing property.","00:02:01–00:02:12; 00:02:25–00:02:29; 00:05:06–00:05:08","School/demographic steering; investment return substantiation","High","High","Review flag; not adjudicated","Actual Texas A&M report/link/date; district/property applicability; caveats","Use sourced neutral wording"
"agent-findings-local-batch.md","LB-20","Trent Babb","2025-07-17","Why Most Sellers Miss Out On Big Profits!","https://www.youtube.com/watch?v=2G78BoUDXFI","2G78BoUDXFI","Promises “faster closings, better terms, less banking fees, and long-term income”; calls seller finance a “huge tax advantage”; projects “over $600,000 in interest income” that “outpaces most real estate investments”; calls it “reliable” retirement strategy.","00:00:08–00:00:13; 00:01:26–00:01:46; 00:03:36–00:03:53; 00:04:56–00:04:59","Tax/legal/financial advice; return claim","High","High","Review flag; fact-specific tax/financial outcome","Hypothetical assumptions, security/default risks, tax basis, disclaimers, on-screen terms","Add CPA/attorney/lender direction and no-guarantee terms"
"agent-findings-local-batch.md","LB-21","Trent Babb","2025-05-19","RV Park Investors! Don't Miss This 30-Slot Turnkey Deal with City Utilities","https://www.youtube.com/watch?v=DHKmbIkF-nY","DHKmbIkF-nY","Calls it “turnkey investment” ready to “provide monthly cash flow”; says prior owner lacked enough cash flow; says after inspections “cash flow starts.”","00:00:31–00:00:38; 00:01:22–00:01:38; 00:08:44–00:08:56","Investment-performance / internal-consistency","High","High","Potentially misleading implication review","Historic P&L/occupancy, closure reason, costs, feasibility, no-guarantee language","Substantiate and disclose risk"
"agent-findings-profile-family-batch.md","PF-01","Home in Texas Team","2025-02-21","Everything You Need to Know About Belton Texas","https://www.youtube.com/watch?v=15TJl0reFxQ","15TJl0reFxQ","Downtown Belton is “best for retirees and young families”; North Belton “great for Suburban families just looking to be close to a school”; “great for families that are seeking easy access to a school.”","00:00:48–00:00:53; 00:02:02–00:02:09; 00:02:19–00:02:23","FHA §804(c); age/familial-status preference; steering","High","High","Potential preference/steering review","HOPA qualification; neutral criteria; official school sources; on-screen qualifications","Use neutral location/distance/property facts"
"agent-findings-profile-family-batch.md","PF-02","Home in Texas Team","2025-09-02","Neighborhoods in Belton ISD Tour","https://www.youtube.com/watch?v=stbP8X-u4-8","stbP8X-u4-8","Buyers are “investing in a really great neighborhood that has great resale because of the elementary school that it goes to.”","00:02:12–00:02:20","School-driven resale/value; steering/substantiation","Moderate","High","Review flag","Boundary source, sales dataset, period, property type, opinion/current-assignment caveat","Cite sources and qualify resale claim"
"agent-findings-profile-family-batch.md","PF-03","Home in Texas Team","2025-06-26","This Temple Texas Landmark Could Change the Local Real Estate Market","https://www.youtube.com/watch?v=u4TbjiKdk0A","u4TbjiKdk0A","Redevelopment “almost always raises property values,” predicts a “10 to 20% increase”; says buyers are “sure to make a really good investment”; urges buying “before the prices go up.”","00:02:45–00:03:08; 00:03:40–00:03:48; 00:04:40–00:04:42","Investment-performance substantiation","High","High","Potential misleading-advertising review","Data source, defined area, baseline/forecast period, development certainty, methodology, no-guarantee qualification","Substantiate or remove forecast/assurance"
"agent-findings-profile-family-batch.md","PF-04","Home in Texas Team","2025-03-10","Everything You Need to Know Moving to This County in Texas","https://www.youtube.com/watch?v=AtLtAFk59pw","AtLtAFk59pw","Helps families find their “perfect neighborhood” and “perfect schools”; families move to Salado for smaller schools/classes, “a plus for any families”; Belton ISD “academic excellence.”","00:00:14–00:00:23; 00:04:42–00:04:53; 00:09:01–00:09:14","Fair-housing steering; subjective-school claim","Moderate","High","Review flag","Official sources/date; neutral criteria; consistent assistance practice","Use cited accountability/boundary information"
"agent-findings-profile-family-batch.md","PF-05","CENTRAL TEXAS LIVING / Frank Adams","2024-08-31","Discover The Diverse Builders Of Rosewood Springs In Killeen, Texas!","https://www.youtube.com/watch?v=U7Cb3fVDSXo","U7Cb3fVDSXo","Single-family house is “perfect for a younger couple,” “an empty nester,” or “a single parent … with a child.”","00:01:01–00:01:11","FHA §804(c) age/familial-status preference","High","High","Potential advertising-preference review","HOPA qualification; neutral features; visual disclosures","Use room/floor-plan features rather than household type"
"agent-findings-profile-family-batch.md","PF-06","CENTRAL TEXAS LIVING / Frank Adams","Current channel","Profile-level broker identity","https://www.youtube.com/@CTXLiving","UCApMznnU70goY-0ucOaQNXA","About identifies “Frank Adams - Texas Real Estate Agent 0459140,” booking link, phone/email, but no sponsoring broker. centraltexasliving.com has CPN/IABS links; broker field dynamically injected and unresolved in static capture.","Channel profile","TREC advertising identity/broker","Low","High profile facts; not final classification","Follow-up, not completed violation","Rendered footer, channel header, end cards, booking destination","Manually render-check disclosure path"
"agent-findings-profile-family-batch.md","PF-07","Nestled With Whitney","2025-12-19","Single-Story 4 Bedroom Home Layout Tour | Belton Texas","https://www.youtube.com/watch?v=dGjB7gjDPHk","dGjB7gjDPHk","“Very familyfriendly”; area has “a lot of familyfriendly options.”","00:00:24; 00:00:32","FHA §804(c) familial-status advertising","Moderate","High","Potential preference-language review","Precise feature description; inclusive qualifier; visual text","Use neutral features"
"agent-findings-profile-family-batch.md","PF-08","Nestled With Whitney","Current channel","Profile-level advertising identity","https://www.youtube.com/@NestledWithWhitney","UCKC2Qfjps_rzW0-lUQIP7KA","About identifies Whitney Bell as Central Texas real-estate agent and markets services, but names no sponsoring broker and, in this report's observation, provides no public destination/contact path for broker check.","Channel profile","TREC advertising identity/broker","Moderate","High observed omission","Follow-up, not every-video conclusion","Banner, external-link panel, end cards, pinned comments, video frames","Verify rendered link panel and disclosures"
"agent-findings-profile-family-batch.md","PF-09","Fort Hood Homes Group / Elizabeth Thomas","2026-06-05","Have you seen what $429K gets you in Belton right now?","https://www.youtube.com/watch?v=nL3hyLo6_hw","nL3hyLo6_hw","“a backyard that your kids can play in” in “a great school district” with “plenty of space.”","00:00:01–00:00:06","FHA §804(c); subjective-school steering","High","High","Potential listing-language/steering review","School source/date; neutral wording; current assignment","Use yard/feature facts and cited boundary data"
"agent-findings-profile-family-batch.md","PF-10","Fort Hood Homes Group / Elizabeth Thomas","2025-04-13","Downtown Salado, TX Tour with Realtor Elizabeth Thomas","https://www.youtube.com/watch?v=tizGwXopE2g","tizGwXopE2g","“some of the top rated schools in the area”; “all the families love to come down and play.”","00:00:15–00:00:18; 00:00:29–00:00:32","Subjective-school comparison; familial-status preference","Moderate","High","Review flag","Rating system/date/source; boundary link; neutral source","Cite source and neutralize audience language"
"agent-findings-profile-family-batch.md","PF-11","Fort Hood Homes Group / Elizabeth Thomas","2024-08-19","2907 Black Orchid Drive, Killeen, TX | Killeen, TX Real Estate","https://www.youtube.com/watch?v=2OJb850OGQU","2OJb850OGQU","Property “priced well below market value” and “perfect for any investor.”","00:01:04–00:01:14","Misleading-advertising / investment substantiation","High","High","Substantiation-risk item","Price/status, CMA/appraisal, comps/dates, condition/expenses, risk disclaimer","Substantiate or remove/qualify"
"agent-findings-profile-family-batch.md","PF-12","Fort Hood Homes Group / Elizabeth Thomas","Current channel","Channel About-page broker identity","https://www.youtube.com/@FortHoodHomesGroup","UCfDOrNekvd28MKc_S897MsQ","About identifies Elizabeth Thomas as REALTOR® but no sponsoring broker/direct link; reviewed video/site path identifies Ace Real Estate Group.","Channel profile","TREC advertising identity/broker","Low","High profile facts","Follow-up; corroborating path reduces basis for complete-absence allegation","Banner/end cards, rendered footer/CPN-IABS, broker on current videos","Verify current profile/video disclosure path"
