"source_report","finding_id","creator_or_channel","date","video_title","video_url","video_id","evidence_excerpt","timestamp","category_or_rule","severity","confidence","classification","missing_context","required_follow_up","adjudicated_priority","adjudicated_label","final_report_treatment"
"agent-findings-rankings-batch.md","C-04","Carmen Colón Homes Team","Current About","Comparative seller performance","https://www.youtube.com/@carmencolonhome","UCrN5LHFTL2qwkmd9z-90RgA","“selling homes fast, and commanding more per square foot than other listing agents in the Fort Hood area.”","About page","Comparative performance substantiation","High","High excerpt; moderate risk","Substantiation concern","MLS study, period, comparator, controls, method","Provide broker-approved comparative study/qualifiers","high","Comparative seller-performance claim","Include in high-priority broker/compliance review as an apparent advertising or disclosure concern; state no violation is determined."
"agent-findings-profile-family-batch.md","PF-05","CENTRAL TEXAS LIVING / Frank Adams","2024-08-31","Discover The Diverse Builders Of Rosewood Springs In Killeen, Texas!","https://www.youtube.com/watch?v=U7Cb3fVDSXo","U7Cb3fVDSXo","Single-family house is “perfect for a younger couple,” “an empty nester,” or “a single parent … with a child.”","00:01:01–00:01:11","Familial-status wording review; age-oriented language retained only as inclusive-copy review, with no age/HOPA violation conclusion","High","High","Mixed age-oriented and familial-status wording review; age-oriented terms are inclusive-copy only, with no age/HOPA conclusion. Any direct family/child phrase remains a copy-remediation concern, not a violation finding.","HOPA qualification; neutral features; visual disclosures","Use room/floor-plan features rather than household type","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-brokerage-pm-batch.md","BPM-01","Century 21 Premier Realtors","2025-07-01; 2025-09-12","5705 Bald Ridge Court","https://www.youtube.com/watch?v=SEnO3JedXcg; https://www.youtube.com/watch?v=zrwqx1S0JYU","SEnO3JedXcg; zrwqx1S0JYU","“it’s perfect for families or those seeking extra space.”","Description","Familial-status audience cue","Medium","High evidence; medium concern","Potential preference-language review; not exclusion evidence","Full player/overlay; broker wording standard","Describe bedrooms/lot/flexible space","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"supplemental-root-final-review.csv","ROOT-AUTH-01","Century 21 Premier Realtors","2025-10-23; 2026-03-30","Multiple dwelling promotions: 1009 S 5th Street, Copperas Cove; 2411 Scott Drive, Copperas Cove","https://www.youtube.com/watch?v=pZEISzTN1Gw; https://www.youtube.com/watch?v=u3PkPKJoUcU","pZEISzTN1Gw; u3PkPKJoUcU","“plenty of space for a young family to grow into” / “military family to transition into”; “This home is a wonderful home in which to raise a family.”","00:19-00:26; 00:47-00:49","Familial-status dwelling-suitability wording review","High","Authenticated public-text evidence; ultimate legal conclusion not determined","Apparent familial-status preference wording; copy-remediation priority, not an adjudicated Fair Housing violation","The record does not establish exclusion, intent, differential treatment, authorship of the supplied listing copy, or legal liability. The military and age phrases are not independently treated as protected-class findings.","Replace household-composition wording with neutral feature, layout, location, and amenity language in the video, description, and any syndicated listing copy; obtain broker/compliance review.","high","Familial-status dwelling-suitability wording review","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"supplemental-authenticated-review.csv","S-AUTH-01","Century 21 Premier Realtors","2026-02-06; 2026-02-14; 2026-04-06; 2026-04-07; 2026-04-14; 2026-04-14; 2026-05-15; 2026-06-22; 2026-06-22; 2026-07-10; 2026-07-10","Multiple dwelling promotions: 2706 Live Oak; 707 Brooklyn Kay; 2004 Clairidge; 3906 Tatonka; 611 N 21st (two uploads); 120 Rae; 501 Mesquite (two uploads); 1770 Dryden (two uploads)","https://www.youtube.com/watch?v=t94AWRZrA18; https://www.youtube.com/watch?v=p3glRosbvY8; https://www.youtube.com/watch?v=3pF2NKSIHwk; https://www.youtube.com/watch?v=Ts2VA87LvXA; https://www.youtube.com/watch?v=8-6cz55GWws; https://www.youtube.com/watch?v=Ey6hxvjPaZQ; https://www.youtube.com/watch?v=JOooF3rH33U; https://www.youtube.com/watch?v=1SvPGboq3j4; https://www.youtube.com/watch?v=3GYggDnQ6pE; https://www.youtube.com/watch?v=7hJm5zwqzvE; https://www.youtube.com/watch?v=zIYA3bxI_nI","t94AWRZrA18; p3glRosbvY8; 3pF2NKSIHwk; Ts2VA87LvXA; 8-6cz55GWws; Ey6hxvjPaZQ; JOooF3rH33U; 1SvPGboq3j4; 3GYggDnQ6pE; 7hJm5zwqzvE; zIYA3bxI_nI","“ideal dwelling for the whole family”; “monitor kids” / “busy family life”; “easy family living”; “perfect for a growing family”; “backyard is just right for kids”; “Your family, children, and pets will approve”; “effortless for growing families”; “space your family has been craving” / “growing families who want a yard.”","Description; 00:00:59-00:01:16; 00:00:14-00:00:20; 00:01:13-00:01:16; 00:00:53-00:00:56 (two duplicate uploads); 00:01:15-00:01:23; 00:01:01-00:01:08 (two duplicate uploads); 00:00:07-00:00:09 and 00:01:16-00:01:20 (two duplicate uploads)","FHA 42 USC 3604(c) / TREC 531.19 familial-status wording review","High","Authenticated public-text evidence; ultimate legal conclusion not determined","Apparent family/children suitability wording; copy-remediation priority, not an adjudicated Fair Housing violation","No exclusion, intent, denied housing, authorship, or liability is established; duplicate uploads are grouped; visual text still requires review","Replace household-composition language with neutral feature/amenity wording and update all syndicated description/caption/on-screen versions.","high","FHA 42 USC 3604(c) / TREC 531.19 familial-status wording review","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"agent-findings-brokerage-pm-batch.md","BPM-02","Century 21 Premier Realtors","2026-02-16","110 Ayla Marie Drive","https://www.youtube.com/watch?v=mmGVWB_fako","mmGVWB_fako","“Looking for a big home for your family? ... designed for a growing family!” and “playscape ... for the children to play.”","Description","Familial-status audience cues","Medium","High evidence; medium concern","Potential review","Full player; agent-authored versus syndicated text","Use neutral property facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-brokerage-pm-batch.md","BPM-03","Century 21 Premier Realtors","2026-02-17","606 Redbud Drive","https://www.youtube.com/watch?v=uUkY_pvzyxE","uUkY_pvzyxE","“gives you plenty of room for your children to play!”","Description","Familial-status audience cue","Medium","High evidence; medium concern","Potential review","Full player; author/source","Use neutral yard/space language","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"supplemental-authenticated-review.csv","S-AUTH-02","Century 21 Premier Realtors","2026-07-16; 2026-07-16","Homes for Sale - 1101 W Business 190, Copperas Cove, TX (two duplicate uploads)","https://www.youtube.com/watch?v=KviQyVloxXU; https://www.youtube.com/watch?v=fFxMhIMkgq4","KviQyVloxXU; fFxMhIMkgq4","“built-in demand”; “consistent revenue streams and long-term stability”; “lets you maximize return on investment.”","00:00:50-00:01:09; 00:01:53-00:01:57 (same substantive asset in both uploads)","Commercial investment/outcome substantiation","High","Authenticated public-text evidence; ultimate legal conclusion not determined","Financial/outcome substantiation review; not a legal conclusion","No demand study, underwriting assumptions, zoning confirmation, tenants, costs, financing, or risk disclosure was established in the recovered text; duplicate upload grouped","Retain source/underwriting support and use conditional, source-linked development facts unless full claim support is present.","high","Commercial investment/outcome substantiation","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"supplemental-root-final-review.csv","ROOT-AUTH-02","Elizabeth Thomas - Fort Hood Homes Group","2025-07-23","Sanctuary by CastleRock | Elizabeth Thomas - Fort Hood Homes Group","https://www.youtube.com/watch?v=JoAESN-QNsg","JoAESN-QNsg","“Sanctuary is ideal for families, repeat and first-time homebuyers, remote workers, and professionals looking to relocate.”","Description","Familial-status dwelling-suitability wording review","High","Authenticated public-text evidence; ultimate legal conclusion not determined","Apparent familial-status preference wording; copy-remediation priority, not an adjudicated Fair Housing violation","The recovered description is community-level promotional copy. It does not establish exclusion, intent, differential treatment, authorship, or legal liability.","Replace “ideal for families” with neutral housing-stock, location, commute, and amenity facts; review any corresponding spoken, on-screen, and syndicated versions.","high","Familial-status dwelling-suitability wording review","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"supplemental-gap-direct-incremental-review.csv","GDI-01","Eric Martinez","2025-08-19; 2025-08-20","403 Lomo Alto 2; Eric Martinez Top Military Realtor Fort Hood","https://www.youtube.com/watch?v=clqHASmzg7A; https://www.youtube.com/watch?v=hjhjOilHvEg","clqHASmzg7A; hjhjOilHvEg","“this home is perfect for families, professionals, or anyone looking to settle in” / “Perfect for families & entertaining”; the latter listing also says “Perfect for military relocations, families, and anyone looking for a move-in ready home.”","Description; raw/authenticated-root/UC0E3Nvi1A5vOz5R87gg0oBA/20250819_clqHASmzg7A.info.json; raw/authenticated-root/UC0E3Nvi1A5vOz5R87gg0oBA/20250820_hjhjOilHvEg.info.json","FHA 42 U.S.C. § 3604(c) / TREC Rule § 531.19 familial-status dwelling-suitability wording review","High","Authenticated public-text evidence; ultimate legal conclusion not determined","Apparent familial-status preference wording; copy-remediation priority, not an adjudicated Fair Housing violation","The descriptions are public dwelling promotions, but the record does not establish exclusion, intent, differential treatment, authorship of any syndicated copy, or legal liability. Military status is not independently treated as a protected-class finding.","Replace household-composition language with neutral layout, condition, amenity, commute, and location facts; have broker/compliance review the descriptions and any parallel spoken, on-screen, or syndicated copy.","high","FHA 42 U.S.C. § 3604(c) / TREC Rule § 531.19 familial-status dwelling-suitability wording review","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"supplemental-root-b-remaining-incremental-review.csv","ROOTB-R-02","Expert Rentals & Property Management","2024-11-14","908 Southside Dr Killeen, TX 76541","https://www.youtube.com/watch?v=9iqaIje2yNA","9iqaIje2yNA","“With easy access to local schools, shopping, and Fort Cavazos, this home is perfect for families or individuals seeking comfort and convenience.”","Description; raw/authenticated-root/UC-_SuyK4REF_TH5r1W2nQmw/20241114_9iqaIje2yNA.info.json","Familial-status suitability wording in rental advertising","High","Authenticated public-text evidence; ultimate legal conclusion not determined","Apparent copy-remediation concern; not a Fair Housing or TREC violation finding","The public text includes both families and individuals and does not show exclusion, tenant-selection practice, intent, authorship, or a denial of housing. Voucher acceptance, military proximity, and school references were not treated as separate violations.","Use neutral feature/location wording and review the rendered rental ad, application path, and any syndicated source copy with property-management compliance personnel.","high","Familial-status suitability wording in rental advertising","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"agent-findings-profile-family-batch.md","PF-11","Fort Hood Homes Group / Elizabeth Thomas","2024-08-19","2907 Black Orchid Drive, Killeen, TX | Killeen, TX Real Estate","https://www.youtube.com/watch?v=2OJb850OGQU","2OJb850OGQU","Property “priced well below market value” and “perfect for any investor.”","00:01:04–00:01:14","Misleading-advertising / investment substantiation","High","High","Substantiation-risk item","Price/status, CMA/appraisal, comps/dates, condition/expenses, risk disclaimer","Substantiate or remove/qualify","high","Valuation and investment-suitability claim","Include in high-priority broker/compliance review as an apparent advertising or disclosure concern; state no violation is determined."
"agent-findings-profile-family-batch.md","PF-09","Fort Hood Homes Group / Elizabeth Thomas","2026-06-05","Have you seen what $429K gets you in Belton right now?","https://www.youtube.com/watch?v=nL3hyLo6_hw","nL3hyLo6_hw","“a backyard that your kids can play in” in “a great school district” with “plenty of space.”","00:00:01–00:00:06","School/crime/safety source, consistency, and neutral-recommendation review; not a Fair Housing violation conclusion","High","High","Apparent familial-status wording plus school-source/consistency review; not a Fair Housing or steering violation finding.","School source/date; neutral wording; current assignment","Use yard/feature facts and cited boundary data","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-profile-family-batch.md","PF-01","Home in Texas Team","2025-02-21","Everything You Need to Know About Belton Texas","https://www.youtube.com/watch?v=15TJl0reFxQ","15TJl0reFxQ","Downtown Belton is “best for retirees and young families”; North Belton “great for Suburban families just looking to be close to a school”; “great for families that are seeking easy access to a school.”","00:00:48–00:00:53; 00:02:02–00:02:09; 00:02:19–00:02:23","Familial-status wording review; age-oriented language retained only as inclusive-copy review, with no age/HOPA violation conclusion","High","High","Mixed age-oriented and familial-status wording review; age-oriented terms are inclusive-copy only, with no age/HOPA conclusion. Any direct family/child phrase remains a copy-remediation concern, not a violation finding.","HOPA qualification; neutral criteria; official school sources; on-screen qualifications","Use neutral location/distance/property facts","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
"agent-findings-profile-family-batch.md","PF-03","Home in Texas Team","2025-06-26","This Temple Texas Landmark Could Change the Local Real Estate Market","https://www.youtube.com/watch?v=u4TbjiKdk0A","u4TbjiKdk0A","Redevelopment “almost always raises property values,” predicts a “10 to 20% increase”; says buyers are “sure to make a really good investment”; urges buying “before the prices go up.”","00:02:45–00:03:08; 00:03:40–00:03:48; 00:04:40–00:04:42","Investment-performance substantiation","High","High","Potential misleading-advertising review","Data source, defined area, baseline/forecast period, development certainty, methodology, no-guarantee qualification","Substantiate or remove forecast/assurance","high","Predicted investment-return claim","Include in high-priority broker/compliance review as an apparent advertising or disclosure concern; state no violation is determined."
"supplemental-direct-review.csv","D-AUTH-03","HOMEVETS REALTY LLC","2025-11-05","Should you Buy or Rent in the Greater Fort Hood area?","https://www.youtube.com/watch?v=5_XH2ExZa8o","5_XH2ExZa8o","“Buy a home if you're staying 3 or more years”; “After 5 years, the homeowner is $23,500 ahead”; “buying often makes more financial sense than renting if you're staying three or more years.”","00:16-02:00; 02:54-03:20; 04:26-04:32","Quantified buy-versus-rent, equity, tax, and VA-loan outcome substantiation","High","Authenticated public-text evidence; ultimate legal conclusion not determined","High-risk financial/outcome substantiation review; not a Regulation Z, VA, tax-law, or guarantee violation finding","The video includes some caveats (individual situation, debt, savings, and temporary assignments), but recovered text does not supply the purchase price, appreciation, rate/APR, loan terms, taxes, insurance, repair, selling-cost, rent-growth, tax eligibility, or calculation methodology behind the projected result.","Retain a dated, scenario-specific calculation and assumptions; make historical/illustrative status prominent; route VA, rate, tax, and eligibility statements through qualified lender/tax review before publication.","high","Quantified buy-versus-rent, equity, tax, and VA-loan outcome substantiation","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"supplemental-root-a-heavy-incremental-review.csv","ROOTA-H-03","i35Group at Keller Williams","2025-01-29; 2025-01-31; 2025-03-07; 2025-03-12; 2025-04-18; 2025-04-28; 2025-07-25; 2025-09-09; 2026-04-22","Multiple city, listing, and relocation promotions: Waco; Copperas Cove; Lampasas; Temple; Hartrick Ranch; Creekside Hills; Fort Hood commute","https://www.youtube.com/watch?v=P-ovnKvzosc; https://www.youtube.com/watch?v=UZs8ssb_2eM; https://www.youtube.com/watch?v=D9lOgq5mRtQ; https://www.youtube.com/watch?v=gNrsOywsfKs; https://www.youtube.com/watch?v=rm-riT5bI7I; https://www.youtube.com/watch?v=h72EdFUv6Kk; https://www.youtube.com/watch?v=RIT2PmxrjIc; https://www.youtube.com/watch?v=ZKlf6dyDImI; https://www.youtube.com/watch?v=jIdeQ1idky8","P-ovnKvzosc; UZs8ssb_2eM; D9lOgq5mRtQ; gNrsOywsfKs; rm-riT5bI7I; h72EdFUv6Kk; RIT2PmxrjIc; ZKlf6dyDImI; jIdeQ1idky8","“ideal for families”; “Great Schools & Family-Friendly Environment”; “Family-Friendly Atmosphere”; “safer environment to raise a family”; “family-friendly neighborhoods”; “best neighborhoods … for families”; “family-friendly community features”; “top schools … or a family-friendly neighborhood.”","Description","Familial-status and school/neighborhood suitability wording review","High","Authenticated public-text evidence; ultimate legal conclusion not determined","Apparent familial-status preference wording; copy-remediation priority, not an adjudicated Fair Housing violation","The public record does not establish exclusion, intent, differential treatment, authorship of supplied listing copy, factual accuracy of school/safety statements, or legal liability. Military, retiree, and young-professional wording are not independently treated as protected-class findings.","Replace family/child household-routing language with neutral property, commute, amenity, school-information, and physical-feature wording; obtain broker/compliance review of descriptions, captions, titles, and any visual overlays.","high","Familial-status and school/neighborhood suitability wording review","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"supplemental-direct-review.csv","D-AUTH-02","Inside The World Of Real Estate","2025-07-01; 2026-06-03","What’s It Like Living in Killeen TX Near Fort Cavazos? Military Relocation & Real Estate Explained; Thinking About Moving to Central Texas? Here's What You Need to Know","https://www.youtube.com/watch?v=AN3y-hx2HIk; https://www.youtube.com/watch?v=5tWyYGEuzSE","AN3y-hx2HIk; 5tWyYGEuzSE","“Copper Cove has a little bit more of affordability for familyfriendly environment and also is very close to Fort Kavasos.”","07:21-07:30; 07:35-07:43","Direct family/children dwelling-suitability wording","High","Authenticated public-text evidence; ultimate legal conclusion not determined","Apparent familial-status preference wording; duplicate interview uploads grouped; not an adjudicated Fair Housing violation","The same interview language appears in both recovered caption files. It is community-level copy, and the record does not establish exclusion, intent, differential treatment, caption accuracy, or legal liability; military targeting alone is not a protected-class conclusion.","Replace “familyfriendly environment” with neutral housing, affordability, commuting, and amenities language in both uploads and any source transcript or derivative clips.","high","Direct family/children dwelling-suitability wording","Include in high-priority broker/compliance review as an apparent concern; no violation or liability is determined."
"agent-findings-local-batch.md","LB-14","Jacob Martinez / LIVING IN CENTRAL TEXAS","2025-01-29","Why ESTANCIA WEST Is The Hottest Neighborhood In Killeen Texas Right NOW","https://www.youtube.com/watch?v=O9yAhXKZJbA","O9yAhXKZJbA","Description calls it “a fantastic option for families, professionals, and anyone looking for a great investment.”","Description","FHA familial-status advertising; investment endorsement","Moderate","High","Potential preference/substantiation review","Neutral property details; investment support","Use neutral features and qualify investment proposition","high","Direct family/children suitability wording","Include in high-priority copy-remediation section as apparent familial-status preference wording; state no exclusion, intent, or legal violation is determined."
