channel_id	channel_name	search_hit_count	example_video_ids/titles	reason_for_review	confidence	recommended_action
UC2Z_q337M9CrJhJ9AuCaueQ	Realtor Kim Van Riper	5	gxPyx4eXzo8 :: Carothers Executive Home in Belton TX || _5n48Caly4k :: Message me to take a tour of this harker heights home! #home #harkerheights #realtor #realestate || U09ypubEVGU :: Fort hood Central Texas area neighborhoods! #military #realtorkimvanriper #realestate #forthood	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UC-1bxoXAz9cJzzAxUwtz3oA	Harol Egans, Realtor	5	jcZtH3OqcXg :: Belton, TX new construction || a0gs1bxoJLw :: New construction Belton, TX || Xvf1gqUgBy8 :: New Construction killeen, TX	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCXCOSeRma4LqC2hdNABgNWg	vanessa thomas	5	-k085UCT0rg :: #homesforsale #copperascove #texas #sold #realtor #salemyhome #cashoffers #homeselling #sales #ctx # || E9NLg8Lr7Vk :: 4Bed 2Bath, 2386SQFT Home. Only 297,9k || Bwyj2wu1YCQ :: 4Bed 2Bath 2219SQFT 275k!	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCx8t3BYAtruElLHy_34C5WA	Sold By Christie M	4	GbHQFsX7D9k :: Temple TX DREAM Home! 🏡 4 Bed | Pool | 2.7 Acres | 2 Large Storage Buildings |	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	medium	full_channel_audit
UC1oriuoiCEWyoV8MxiZjmOw	Brandon Mendoza	4	E9x6bZ7rHgg :: New Homes In The Terrace Community | Belton TX Homes For Sale | D.R. Horton || OnM0bUlXpPY :: 211 Dober St, Nolanville, TX 76559 | Homes for Sale in Nolanville	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCBnMenFpdXUw4v022CfkXMQ	BHS Realty Group	4	CSdNwipZJFA :: Homes for sale in Killeen, Texas	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only
UCVyzhc2YHkbwLJU2_Qs2Snw	CazFamRealEstate	4	Y7F1D1Do8kU :: 3319 Eagle Ridge, HH || Upq6MxbX9OY :: 775 Cactus, Copperas Cove	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	medium	full_channel_audit
UCZ9Nsthr_JYgY4-Kz9PDLsQ	Amanda RockStar Realtor	4	FwauAe9e-B4 :: 406 Oak Street, Copperas Cove TX || I3brqJELlFs :: 610 Rogers Street, Copperas Cove TX. Home for sale.	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UC6YcqWxqAo3jNVxyyF2MZyA	LIsa Copeland- The Real Lioness	4	nZ8d9rfQIKs :: Selling Central Texas, NolanVille Dream Home- small town charm with big city access	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	medium	full_channel_audit
UCXDEyux_WRpKBuhVLHPJinQ	Jonathan Wise	4	0SMCbO23Frs :: Stony Brook Ranch 33.24 +/- Acres Bell County TX || NeQGmV_LChM :: 36.61± Acre Ranch for Sale in Bell County, TX | 4 Bed Home, Shop & Barn || v84lUxBouMY :: 76.36± Acre Ranch for Sale in Bell County, TX | IH 35 Frontage & Hunting	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCc1CY8hdQ2pIk62vGztB1cQ	Jeremy Fay, Realtor	3	yhxWz6sm1ak :: 907 Margaret Ann Street Belton, TX 76513 | Jeremy Fay | Homes for Sale || fwULdSiK-IY :: 189 Wyatt Earp Loop Nolanville, TX 76559 | Jeremy Fay | Top Real Estate Agent	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCYsdJIrTd2vYmfqSNfUSYZA	Inside The World Of Real Estate	3	AN3y-hx2HIk :: What’s It Like Living in Killeen TX Near Fort Cavazos? Military Relocation & Real Estate Explained || 5tWyYGEuzSE :: Thinking About Moving to Central Texas? Here's What You Need to Know	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCPxhdKZSM8qOMNOUG5Ee6VA	RE/MAX RedZone	3	Z5i70M0CS1I :: Harker Heights TX | Home for rent || X4s-iZlBHc8 :: Harker Heights TX | Home for Rent	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCaWGe6aEm9HqntTW6kOthyw	Texas Residential Management (TRM Rentals)	3	PaZCITMSofc :: Harker Heights, TX || Y7lNa-a6A7o :: 2701 Settlement Rd Copperas Cove TX	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCsiBMl-3q-I40160oSoKXvg	Central Texas Property Management, LLC	3	MPZIhyw_LVc :: Harker Heights Homes for Rent 3BR/2BA by Harker Heights Property Management || KS7CAb7b-ww :: Apartment for Rent in Harker Heights 2BR/1BA by Harker Heights Property Management	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCwO_J1ZrE_elNTdc9P81xDw	Jeanne Mosbaugh	3	v2E8GTtX88E :: NEW LISTING 4 BED • 2.5 BATH HARKER HEIGHTS, TX || SXJquErlOow :: 🏡 Stunning 4 Bedroom Home in Harker Heights, TX | 2527 Alpine Fir Drive	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCAV8dmQT-eD4H3FDWRNrGZg	Lara Fobian	3	kr9YrBBx4Hk :: HD Walking Tour! GOLF COURSE Copperas Cove, TX Owner Finance Home for Sale (all credit OK) || nTARkSSrL7k :: (Virtual tour) GOLF COURSE Owner Finance Home for Sale in Copperas Cove, TX	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UC5H_GdK-1KyqxCpfbAQZR5g	Julie James - Esperanza Realty Group - Killeen, TX	2	OnUZV_ubzZU :: This $225K Home is a Hidden Gem in Killeen, TX	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCEHEBx_wXLpEbVMPbB1_jgw	D'Andra Texas Realtor	2	bgkeOTR5pIQ :: New homes Killeen TX #killeen	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only
UCOtQo6ZNvgHEN6dAubILuNg	jason hunter REALTOR®	2	p4H4Z8zO1uM :: 1705 Hooper St Killeen TX | Home Tour & Neighborhood Guide | Killeen Real Estate 2026 || UypLlt4-M8c :: 1705 Hooper St Killeen TX | Home Tour & Neighborhood Guide | Killeen Real Estate 2026	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UC5K8rHZrx399cVSq0-KycNA	JJ Realty Group	2	dv608DOcjV0 :: Home tour in Killeen TX, 308 Constellation DR || eCIsnE-h-s4 :: Renting vs. Owner Financing Your Home in Temple & Killeen TX	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UC_ijOhQ7aWRH6GqL1a-G5Dg	The Myles Group | Keller Williams Northwest Austin	2	OLKgllVDHEs :: Austin vs. Killeen: What Buyers Need to Know Before Moving || bjxT0wC5HhA :: Forthood Real Estate Agent: 3 Things Every Homebuyer Should Budget for	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCfj6lUX8K2rVVRRGiFiDuTA	NANCY BEST REALTY - Nancy Best, Broker	2	0J1LEJ3h4_4 :: SOLD | 2510 Leatherwood, Harker Heights, TX | Nancy Best, REALTOR || kE_Bv7EJvu8 :: Nancy Best - Your Agent	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCUv0or2EapZQYKMm-Tgt1zg	Solomon's Signature Homes	1	6CpRxIshVE4 :: Custom Home by Solomon's Signature Homes in Killeen, TX | 6201 Springbrook Circle	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCzPvsERX90FvfkS7EWyscaQ	Angelica Augafa	1	rcPOjTYRpwk :: 1111 Doc Whitten Dr, Harker Heights, TX | Central TX Real Estate	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only
UCihPGpRXg00tkVCXqJKXW0A	Albatross Furnished Homes | Central Texas	1	2gE6iN_NqbE :: How to find safe neighborhoods to live in Killeen, Temple, Belton, and Harker Heights, Texas	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCTK2XLqTgPcvKDSWAuYRirg	Native Real Estate	1	-pa5kjLYhOw :: 11.281 Acre Development Opportunity Copperas Cove Tx	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only
UCBansIejrAmP3NsqGRVMJGw	McCaw Property Management	1	RCaHSMmxEpw :: Copperas Cove Homes for Rent 3BR/2BA by Copperas Cove Property Management	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCWqSTiHlhdtMM1_eOonx2Ew	FireBoss Realty	1	eY4HvGKoRY8 :: Texas Homestead Exemption Explained (Updated 2025)	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only
UCnJvi-ulVuYXYAXrEo47Feg	HOMEVETS REALTY LLC	1	5_XH2ExZa8o :: Should you Buy or Rent in the Greater Fort Hood area?	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCoQ2EwqBrZ1ZUyMFULLCcsA	Hood Housing	1	pk1FOBkYxtc :: Realtor in Fort Hood and Central Texas	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UClshK3EW3d3pcV_UXKii1Tw	BANG - Broker Alliance Networking Group	2	2gjFjLbGW-s :: Military Real Estate Near Fort Hood | PCS, Investing & Buying Homes in Killeen, Texas | BANG	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UC0E3Nvi1A5vOz5R87gg0oBA	Eric Martinez	2	wPuFlJsEL80 :: Eric Martinez Realtor Fort Hood Killeen Temple Belton || 3-m3RM_zddg :: Eric Martinez Real Estate Professional Fort Hood Belton Temple Killeen	Repeated, locally targeted housing content plus a creator, brokerage, builder, or property-management signal; catalog the full channel before determining whether any compliance issue exists.	high	full_channel_audit
UCCXH2XT0creLsVXieHKaqJg	The Ryan Smith Home Selling Team	1	yhVaCq6I2gI :: Temple - Belton Real Estate Agent: Main Documentary	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCqrpFnDiSrIghSsVl6LX-Cg	Central Texas Realty Expert Group	1	QdvX7FYZk14 :: Temple Texas below $100,000 on a property that I believe would cash flow like crazy.	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCDIP1w5u5dk_rVd1pXRgM9g	Living in Killeen, Texas	1	Ze8rzA5W27c :: Meet Your Trusted Central Texas Real Estate Experts	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UC5D99X4n-jn6j-JMeGB4JzA	Virtu On Azalea	1	Rv9rsNM-g44 :: Tour Virtu on Azalea Apartments | One-Story Living in Temple, TX	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCnxgb2rBHSSPIK5XNnzg1dA	Parkway Real Estate	1	QTIPzFvzBn0 :: Parkway Real Estate - 714 Haymarket, Temple, TX 76502	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UC5GP-jzO4ttV6u5q58EhSlw	Jd Walters Real Estate	1	ENkfo90HMi8 :: Temple Real Estate vs. Austin Prices: A Texas Tale of Two Cities	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only
UCAUhFlNF7h8uBVB-gpCwNUw	Araceli Alsop | Realtor	1	pGCxQS456Z8 :: Why are people moving to Temple, TX?	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCBmrCc9TusfEITiCDTfrzHw	Peak Point Real Estate	1	6LD4tJolIYo :: $30k Price Improvement! Tour this stunning 4-Bedroom home with a pool in Belton, Texas	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCjJiNRfli0gqw-1_Fawhy2w	Realtor Andrew Morin	1	_nBa5D2nUVE :: 3 Bedroom | 4.5 Baths | 5580 Square Feet | Homes For Sale | Belton TX	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCH5WP3vHGc7TWyF95bK7Njw	Maria Jones Hall, REALTOR®	1	3AcZ7WFj2eQ :: 5306 Denmans Lp, Belton, TX home tour.	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCktS7ZgqecOWzlpPf5sYTbQ	Corie Oliveira, Realtor, Central Texas	1	JwCjbBCeo5o :: Tour Downtown Belton TX / House tour!	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UChL1Xabpw5q1A9OsK8M2NYQ	Faith. Family. Home. -Keith Duble Team, eXp Realty	1	0bNQ1wWN63s :: Killeen TX Home For Sale | STUNNING KITCHEN | NO REAR NEIGHBOR | EN SUITE 4TH BEDROOM!	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCKH2sH7HPgegOTqg1aG0jeQ	StarPointe Realty Management	1	yYKH2orEVQo :: Killeen TX Custom Home Tour: 1.49 Acres of Pure Luxury #killeentx #realestate #LuxuryHome	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only
UCEfOKHk-U46tEehmiFO_L3A	Collier Group Realty	1	BjsyAZ8945c :: Home Tour | 7802 Preston Hollow, Killeen, TX	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UC6O-RmQUjGKF748BgeKJ0gA	RentVision Walkthrough Video Tours	1	kptlSVgsjXk :: The Heights at 701 Harker Heights TX - theheightsat701apts.com - 2BD 1BA Apartment For Rent	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCrTfHN0P1n5slR2WTp66coA	Lookout Ridge	1	PItnQu3j4s8 :: B2 Lookout Ridge Harker Heights TX lookoutridgetx.com - 2BD 2BA Apartment	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCrTa7dQCMKwpV_hqjnNmsxg	Beck-Reit Commercial Real Estate Texas	1	xV8G85nRWDE :: Harker Heights Land:1420 E FM 2410	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCANcGJDEyAAMORhHrbsBRUA	The Robert J Fischer Team - Realtors	1	A73CUdpknHY :: Income-Producing Duplex in Harker Heights TX | 207 W Bobwhite Ln. Harker Heights	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UC7oDOV8Bw4WQgOEi-AjicOQ	Julio C. Ruiz • Texas REALTOR®	1	9-bRao1BcTM :: 0000 PITCHFORK RANCH DR | COPPERAS COVE, TEXAS | BEAUTIFUL 5.47 ACRES	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCNOSkbUuJkPSNre7oBvn-kA	Longhorn Realty	1	hsy4rBKeMhQ :: 88+ Acres, Ag Exempt & Unrestricted Copperas Cove TX Ranch for Sale in Coryell County	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	high	direct_video_only
UCN2NRIkP4wriUWnE5R9L3AA	thefocusteam1	1	3ktlC79Ldpg :: Copperas Cove New Construction by Silverado Homes - 3414 Jacob Street	At least one video directly markets or gives housing/relocation guidance for a target city, but available search evidence does not establish enough recurring local content for a full-channel pass.	medium	direct_video_only

