"finding_id","creator_or_channel","video_url","original_adjudicated_priority","strict_bucket","strict_disposition","strict_basis","published_as_proven_violation"
"BPM-05","Century 21 Premier Realtors","https://www.youtube.com/watch?v=VMi_WI1rCks","verification_only","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
"BPM-06","Expert Rentals & Property Management","https://www.youtube.com/watch?v=83phZrxwie8","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"BPM-07","John Reider Properties","https://www.youtube.com/channel/UChfEhOd71uTgQaZPyy7rN-w","low","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"BPM-08","Linnemann Realty","https://www.youtube.com/channel/UCdGuhzT0IUrH81vQN9tY6MQ","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"C-01","Carmen Colón Homes Team","https://www.youtube.com/@carmencolonhome","low","no_proven_violation_other","no_proven_violation","No proven violation: the public evidence is puffery, a resolved path, ordinary geographic information, or an item that never established a required legal element.","no"
"C-02","Carmen Colón Homes Team","https://www.youtube.com/@carmencolonhome","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"C-03","Carmen Colón Homes Team","https://www.youtube.com/@carmencolonhome","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"C-04","Carmen Colón Homes Team","https://www.youtube.com/@carmencolonhome","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"D-AUTH-01","The Myles Group | Keller Williams Northwest Austin","https://www.youtube.com/watch?v=OLKgllVDHEs","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"D-AUTH-02","Inside The World Of Real Estate","https://www.youtube.com/watch?v=AN3y-hx2HIk; https://www.youtube.com/watch?v=5tWyYGEuzSE","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"D-AUTH-03","HOMEVETS REALTY LLC","https://www.youtube.com/watch?v=5_XH2ExZa8o","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"D-AUTH-04","rennerrealty","https://www.youtube.com/watch?v=aFxx-dgc5uA","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"D-AUTH-06","The Robert J Fischer Team - Realtors","https://www.youtube.com/watch?v=A73CUdpknHY","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"D-AUTH-07","Araceli Alsop | Realtor","https://www.youtube.com/watch?v=pGCxQS456Z8","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"D-AUTH-08","Jd Walters Real Estate","https://www.youtube.com/watch?v=ENkfo90HMi8","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"D-AUTH-09","Albatross Furnished Homes | Central Texas","https://www.youtube.com/watch?v=2gE6iN_NqbE","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"DL-01","Robert Herrings Jr; Teresa Ingram; Joanna Pearce","https://www.youtube.com/watch?v=KZVdx2EsqL0; https://www.youtube.com/watch?v=XdWkk6bAiWs; https://www.youtube.com/watch?v=iV0aBAwDwMw","verification_only","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
"DL-02","Sujin Park Henson; Spradley Properties","https://www.youtube.com/watch?v=gd8C2EtH98I; https://www.youtube.com/watch?v=MYkFoAUWeMI; https://www.youtube.com/watch?v=vKAqNfEX4ws","verification_only","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
"DL-03","Nahir Diaz REALTOR®","https://www.youtube.com/watch?v=K5Gpv7s8qk4","low","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"DL-04","Nahir Diaz REALTOR®","https://www.youtube.com/@NahirDiazREALTOR","verification_only","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
"DL-05","Twins Realty Team","https://www.youtube.com/watch?v=MtSaZ_wLYkM; https://www.youtube.com/watch?v=zOOJ9W4P4NE","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"DL-06","Twins Realty Team","https://www.youtube.com/@Gottwinsrealty","verification_only","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
"GAP-AUTH-01","Asad Shaikh - Texas Realtor","https://www.youtube.com/watch?v=BJbLtJe9rKo","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"GDI-01","Eric Martinez","https://www.youtube.com/watch?v=clqHASmzg7A; https://www.youtube.com/watch?v=hjhjOilHvEg","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"GDI-02","vanessa thomas","https://www.youtube.com/watch?v=eGlS0KbBX2Y","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"GDI-03","jason hunter REALTOR®","https://www.youtube.com/watch?v=PM8Zy6FEKTU","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"GDI-04","vanessa thomas","https://www.youtube.com/watch?v=41NdT9b2AJI; https://www.youtube.com/watch?v=i47jkD9dzjo","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"J-01","Jean Shine / Shine Team","https://www.youtube.com/@TheShineTeam","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"J-02","Jean Shine / Shine Team","https://www.youtube.com/@TheShineTeam","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"J-03","Jean Shine / Shine Team","https://www.youtube.com/@TheShineTeam","low","no_proven_violation_other","no_proven_violation","No proven violation: the public evidence is puffery, a resolved path, ordinary geographic information, or an item that never established a required legal element.","no"
"LB-01","Mallory Anthony","https://www.youtube.com/watch?v=vo-XdLuZAJo","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"LB-02","John Hayes","https://www.youtube.com/watch?v=RthpRSOOW88","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"LB-03","John Hayes","https://www.youtube.com/watch?v=RthpRSOOW88","verification_only","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"LB-04","John Hayes","https://www.youtube.com/watch?v=B0M411DjiwE","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-05","Mathew Dick / Military Living in Central Texas","https://www.youtube.com/watch?v=p0b2HmyuJQw","high","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-06","Mathew Dick / Military Living in Central Texas","https://www.youtube.com/watch?v=gPwuHFSaqOU","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-07","Mathew Dick / Military Living in Central Texas","https://www.youtube.com/watch?v=R69ScZkadjM","high","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-08","Mathew Dick / Military Living in Central Texas","https://www.youtube.com/watch?v=ys6_k7DqvlI","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"LB-09","Mathew Dick / Military Living in Central Texas","https://www.youtube.com/watch?v=p0b2HmyuJQw","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"LB-10","Jacob Martinez / LIVING IN CENTRAL TEXAS","https://www.youtube.com/@livingincentraltexas254","medium","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
"LB-11","Jacob Martinez / LIVING IN CENTRAL TEXAS","https://www.youtube.com/watch?v=4yooPsq8qio","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-12","Jacob Martinez / LIVING IN CENTRAL TEXAS","https://www.youtube.com/watch?v=Q3Nf6sKuR0M","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-13","Jacob Martinez / LIVING IN CENTRAL TEXAS","https://www.youtube.com/watch?v=2EtGu8yUhQk","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-14","Jacob Martinez / LIVING IN CENTRAL TEXAS","https://www.youtube.com/watch?v=O9yAhXKZJbA","high","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-15","Trent Babb","https://www.youtube.com/watch?v=gT_qkJLFkOs","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"LB-16","Trent Babb","https://www.youtube.com/watch?v=XTIn4-nXAZg","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"LB-17","Trent Babb","https://www.youtube.com/watch?v=zleZN84Zs-Y","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"LB-18","Trent Babb","https://www.youtube.com/watch?v=4knnkLiSO_k","high","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-19","Trent Babb","https://www.youtube.com/watch?v=oMaddpXvp3w","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"LB-20","Trent Babb","https://www.youtube.com/watch?v=2G78BoUDXFI","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"LB-21","Trent Babb","https://www.youtube.com/watch?v=DHKmbIkF-nY","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"P-01","PRC Properties Group","https://www.youtube.com/watch?v=BjOyE9UrCtk","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"P-02","PRC Properties Group","https://www.youtube.com/@PRCPropertiesGroup","resolved","no_proven_violation_other","no_proven_violation","No proven violation: the public evidence is puffery, a resolved path, ordinary geographic information, or an item that never established a required legal element.","no"
"PF-01","Home in Texas Team","https://www.youtube.com/watch?v=15TJl0reFxQ","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"PF-02","Home in Texas Team","https://www.youtube.com/watch?v=stbP8X-u4-8","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"PF-03","Home in Texas Team","https://www.youtube.com/watch?v=u4TbjiKdk0A","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"PF-04","Home in Texas Team","https://www.youtube.com/watch?v=AtLtAFk59pw","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"PF-05","CENTRAL TEXAS LIVING / Frank Adams","https://www.youtube.com/watch?v=U7Cb3fVDSXo","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"PF-06","CENTRAL TEXAS LIVING / Frank Adams","https://www.youtube.com/@CTXLiving","verification_only","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
"PF-07","Nestled With Whitney","https://www.youtube.com/watch?v=dGjB7gjDPHk","high","no_proven_violation_family_age_or_military_wording","no_proven_violation","No proven violation: the cited wording is not an express exclusion or limitation, and the complete context does not establish an unlawful protected-class preference. Relocation and military status are not treated as FHA protected classes.","no"
"PF-08","Nestled With Whitney","https://www.youtube.com/@NestledWithWhitney","medium","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
"PF-09","Fort Hood Homes Group / Elizabeth Thomas","https://www.youtube.com/watch?v=nL3hyLo6_hw","high","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"PF-10","Fort Hood Homes Group / Elizabeth Thomas","https://www.youtube.com/watch?v=tizGwXopE2g","medium","unresolved_school_crime_steering_or_demographic_context","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the public record does not prove discriminatory intent, differential treatment, protected-class tailoring, or another required steering/discrimination element.","no"
"PF-11","Fort Hood Homes Group / Elizabeth Thomas","https://www.youtube.com/watch?v=2OJb850OGQU","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"PF-12","Fort Hood Homes Group / Elizabeth Thomas","https://www.youtube.com/@FortHoodHomesGroup","verification_only","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
"RL-01","Living at Fort Hood / Hanna Smelser","https://www.youtube.com/watch?v=r71Ud2xcSM4","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"RL-02","Jessica Doree","https://www.youtube.com/watch?v=biq0haoCeiM","high","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"RL-03","Sandee Payne","https://www.youtube.com/watch?v=Fks5Vr6nQHo","medium","unresolved_financial_mortgage_or_substantiation","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: one or more required facts remain unproven, such as regulated role, complete final-ad context, source methodology, falsity, material terms, eligibility, compensation, or an applicable exception.","no"
"RL-04","Sandee Payne; People 1st / Gloria Watson","https://www.youtube.com/watch?v=ofQdNt_BPWg; https://www.youtube.com/watch?v=BO5W6XKvDUY; https://www.youtube.com/watch?v=DXNFOvcHfeI","verification_only","unresolved_disclosure_or_status_path","unresolved_missing_evidence_not_publishable_as_violation","Excluded from the violations output: the full disclosure path, visual asset, direct-link destination, listing history, authorization, or date-matched status was not completely established.","no"
