"channel_id","channel_name","scope_lane","total_in_window_public_uploads_cataloged","uploads_with_caption_files","uploads_without_caption_files","evidence_mode","triage_recommended_action","scope_adjudication","source_categories","limitations","source_report_or_input"
"UCSKCjpoNVdfYTFxHy-jS_VA","Cloud Real Estate","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UCC_f7viNGfRPH0gSnTsHlFw","Duplexes in Killeen Texas","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UCfDOrNekvd28MKc_S897MsQ","Elizabeth Thomas - Fort Hood Homes Group","authenticated_full_channel","72","63","9","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UC0E3Nvi1A5vOz5R87gg0oBA","Eric Martinez","authenticated_full_channel","103","80","23","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","discovery;root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UC-_SuyK4REF_TH5r1W2nQmw","Expert Rentals and Property Management","authenticated_full_channel","41","29","12","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UC5v4flYtIbs8z1ZQ-d-nGXw","George Cass - Texas Realtor","authenticated_full_channel","0","0","0","zero-eligible channel recorded from candidate registry","","explicit zero-eligible root candidate","root","Zero eligible in-window uploads were reported for this root candidate; retained explicitly to distinguish zero eligible uploads from omitted coverage.","candidate-channels.tsv"
"UC-1bxoXAz9cJzzAxUwtz3oA","Harol Egans, Realtor","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","curated discovery-gap full-channel input: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","authenticated-gap-full-channel-inputs.txt; discovery-gap-triage.tsv"
"UClinBn5SPDXw59ekiWude1A","HH Rental Properties","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UCH_q3yrfScCGPYzSr9VVwGQ","Home in Texas Team","authenticated_full_channel","24","20","4","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UC3Wl4C9al_GLLFSe5nBSg6A","Hood Homes Blog - Brian E Adams","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UCoQ2EwqBrZ1ZUyMFULLCcsA","Hood Housing","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","curated discovery-gap full-channel input: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","authenticated-gap-full-channel-inputs.txt; discovery-gap-triage.tsv"
"UClqYZw4Suu5WVPGFlm8Tgeg","i35Group at Keller Williams","authenticated_full_channel","240","179","61","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCxNVaIh7kxWGQqb13jylC1g","J a m a i c a P e r r y","authenticated_full_channel","1","1","0","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCMfrI9m3oMyJsWco8Fq05Uw","James Jim Garvey eXp Realty","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UCOtQo6ZNvgHEN6dAubILuNg","jason hunter REALTOR®","authenticated_full_channel","8","4","4","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCw9DgzcPb_rhdp3VHFFo_8Q","Jean Shine - Shine Team Realtors","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UCwO_J1ZrE_elNTdc9P81xDw","Jeanne Mosbaugh","authenticated_full_channel","108","27","81","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCc1CY8hdQ2pIk62vGztB1cQ","Jeremy Fay, Realtor","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","curated discovery-gap full-channel input: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","authenticated-gap-full-channel-inputs.txt; discovery-gap-triage.tsv"
"UCr69-cf-6VLWlDIyi71v13g","Jessica Doree TX Premier Realty","authenticated_full_channel","16","10","6","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCFH8kizFSAK8n2F8Rj_kKUw","Jimmy Clark Homes","authenticated_full_channel","4","1","3","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UC5K8rHZrx399cVSq0-KycNA","JJ Realty Group","authenticated_full_channel","31","29","2","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCMKRSmq9b8V07K9y4Zyfx_Q","Joanna Pearce","authenticated_full_channel","7","5","2","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCGhBS7DKFyz9F54RfrBucQw","John Reider Properties","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UChfEhOd71uTgQaZPyy7rN-w","John Reider Properties second channel","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UCPbTQjfJhPIGbWWf-fT4Arw","John Sanders","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","curated discovery-gap full-channel input: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","authenticated-gap-full-channel-inputs.txt; discovery-gap-triage.tsv"
"UCXDEyux_WRpKBuhVLHPJinQ","Jonathan Wise","authenticated_full_channel","26","9","17","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","discovery;root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCoSJo2-rE7ddishWTzj9sAA","Killeen to Austin Living - Darren Saint-Surin","authenticated_full_channel","7","6","1","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCAV8dmQT-eD4H3FDWRNrGZg","Lara Fobian","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","curated discovery-gap full-channel input: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","authenticated-gap-full-channel-inputs.txt; discovery-gap-triage.tsv"
"UCdGuhzT0IUrH81vQN9tY6MQ","Linnemann Realty","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UChC-ZIQbKzAX5FAdCg7FAfg","Linnemann Realty second channel","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","root full-channel manifest: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","root-full-catalog-channels.tsv"
"UCm-ak6OuI6VnRU7xJbfndMw","Lisa Kamprath Realtor Belton TX","authenticated_full_channel","34","8","26","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCjlRZ6P2r9NV3NQtGwWuBjg","Living at Fort Hood - Hanna Smelser","authenticated_full_channel","26","26","0","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCCXc67-4lyPeo_P-HFiPTSg","Maria Jones Hall Realtor","authenticated_full_channel","26","18","8","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCW0Vt4ukxSblQWRyLF_l6GA","Nahir Diaz Realtor","authenticated_full_channel","18","17","1","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCKC2Qfjps_rzW0-lUQIP7KA","Nestled With Whitney","authenticated_full_channel","154","117","37","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCoht3EiOo8EqRe5exkOAH8w","New Builds in Central Texas","authenticated_full_channel","14","14","0","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCv13WrX5B7qp6TIGskYpDDQ","Ott Group Realty - Homestead Real Estate","authenticated_full_channel","33","16","17","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCJn5yVbactAJ84qeDb22Htg","People 1st Realty - Gloria Watson","authenticated_full_channel","82","74","8","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCQIRCIpmSGFVbRXK6OYg6zA","PRC Properties Group","authenticated_full_channel","3","3","0","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCPxhdKZSM8qOMNOUG5Ee6VA","RE/MAX RedZone","authenticated_full_channel","0","0","0","zero-eligible full-channel inventory","","curated discovery-gap full-channel input: zero eligible in-window uploads","root","Zero eligible in-window uploads were returned by the completed full-channel collector; retained explicitly to distinguish zero eligible uploads from omitted coverage.","authenticated-gap-full-channel-inputs.txt; discovery-gap-triage.tsv"
"UCvwxIfW2u71mpzrKastNbDg","Real Estate Steph CTX","authenticated_full_channel","6","6","0","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UC2Z_q337M9CrJhJ9AuCaueQ","Realtor Kim Van Riper","authenticated_full_channel","77","54","23","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCkhp-b2FIwAZVlV6kRN-1mg","Rheajane Taylor","authenticated_full_channel","693","349","344","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCGEXUfJdSCBPtgWeF8Dl4lw","Robert Herrings Jr","authenticated_full_channel","251","35","216","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCMqPqekyjmpLouPBXBNDUOg","Ron Real Estate Life","authenticated_full_channel","76","76","0","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UClhphoG2zMHA6r7nNyLFLgA","Samantha Hammonds - Central TX Realtor","authenticated_full_channel","28","26","2","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCa5bz6lCwdTX6HQfzlOdZFA","Sandee Payne","authenticated_full_channel","15","11","4","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UClKGrQTetWA6uF2ti9xSzhA","Shay Harris Broker MBA - Fort Hood TX","authenticated_full_channel","26","1","25","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCKVWHDP86oKOt6yZOH4lMEA","Shelly Salas - Your Home Sold Guaranteed","authenticated_full_channel","633","294","339","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCx8t3BYAtruElLHy_34C5WA","Sold By Christie M","authenticated_full_channel","5","2","3","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCfS8-4IPB1bN8oN1N2zqsSw","Spradley Properties","authenticated_full_channel","17","6","11","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCJs_jBKFIBm0o4HZg1mLMKQ","Stephen Harris - Selling Central Texas","authenticated_full_channel","194","193","1","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCZAiPx4wER-v-Q4avEhVTZg","Sujin Park Henson","authenticated_full_channel","400","205","195","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCDKBmfDQL51l_qsamkhGYHw","Teresa Ingram","authenticated_full_channel","27","24","3","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCaWGe6aEm9HqntTW6kOthyw","Texas Residential Management (TRM Rentals)","authenticated_full_channel","10","6","4","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCiDEHqXl4HEWQZ4mZ1nsbtQ","Twins Realty Team","authenticated_full_channel","192","189","3","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","","root scope adjudication: full_channel_local_creator","root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCXCOSeRma4LqC2hdNABgNWg","vanessa thomas","authenticated_full_channel","332","139","193","authenticated yt-dlp full-channel catalog plus local caption-file artifacts","full_channel_audit","discovery-gap triage full_channel_audit recommendation","discovery;root","Authenticated inventory is a full-channel lane. Caption-file presence is an artifact-availability signal; visual-layer review is outside this ledger.","authenticated-video-catalog.json; authenticated-coverage-summary.json"
"UCihPGpRXg00tkVCXqJKXW0A","Albatross Furnished Homes | Central Texas","discovery_direct_video_only","1","1","0","authenticated discovery-video artifacts restricted to the approved direct-video ID manifest","direct_video_only","triage recommendation: direct_video_only","discovery","Direct-video-only ledger row; this is not a complete channel inventory. Triage recommends direct_video_only.","authenticated-video-catalog.json; authenticated-credible-direct-caption-inputs.txt; discovery-gap-triage.tsv"
"UCnR6lhPtfohqYCQlb1f9uuQ","Albert Chen - AATX Residential","discovery_direct_video_only","0","0","0","offline discovery hit followed by authenticated direct-video retrieval attempt","direct_video_only","triage recommendation: direct_video_only","discovery","No eligible authenticated artifact was retained for the direct-video lane. The discovered video may be outside the audit window, unavailable, removed, private, or an extraction gap; this is not a finding and not a complete channel inventory.","discovery-gap-triage.tsv; authenticated-video-catalog.json"
"UCzPvsERX90FvfkS7EWyscaQ","Angelica Augafa","discovery_direct_video_only","1","1","0","authenticated discovery-video artifacts restricted to the approved direct-video ID manifest","direct_video_only","triage recommendation: direct_video_only","discovery","Direct-video-only ledger row; this is not a complete channel inventory. Triage recommends direct_video_only.","authenticated-video-catalog.json; authenticated-credible-direct-caption-inputs.txt; discovery-gap-triage.tsv"
"UCAUhFlNF7h8uBVB-gpCwNUw","Araceli Alsop | Realtor","discovery_direct_video_only","1","1","0","authenticated discovery-video artifacts restricted to the approved direct-video ID manifest","direct_video_only","triage recommendation: direct_video_only","discovery","Direct-video-only ledger row; this is not a complete channel inventory. Triage recommends direct_video_only.","authenticated-video-catalog.json; authenticated-credible-direct-caption-inputs.txt; discovery-gap-triage.tsv"
"UCblhSimaUbM15R-kGm-0J1A","At Home in Texas","discovery_direct_video_only","8","0","8","public direct target-video metadata and available caption artifacts","","root-scope-adjudication override: direct_target_videos_only","discovery","Direct-target-video-only row for an out-of-market, statewide, or syndication channel; unrelated uploads were not promoted into the six-city full-channel scope.","root-scope-adjudication.tsv; authenticated-root-direct-video-inputs.txt; authenticated-video-catalog.json"
"UClshK3EW3d3pcV_UXKii1Tw","BANG - Broker Alliance Networking Group","discovery_direct_video_only","1","1","0","authenticated discovery-video artifacts restricted to the approved direct-video ID manifest","direct_video_only","triage recommendation: direct_video_only","discovery","Direct-video-only ledger row; this is not a complete channel inventory. Triage recommends direct_video_only.","authenticated-video-catalog.json; authenticated-credible-direct-caption-inputs.txt; discovery-gap-triage.tsv"
"UCrTa7dQCMKwpV_hqjnNmsxg","Beck-Reit Commercial Real Estate Texas","discovery_direct_video_only","0","0","0","offline discovery hit followed by authenticated direct-video retrieval attempt","direct_video_only","triage recommendation: direct_video_only","discovery","No eligible authenticated artifact was retained for the direct-video lane. The discovered video may be outside the audit window, unavailable, removed, private, or an extraction gap; this is not a finding and not a complete channel inventory.","discovery-gap-triage.tsv; authenticated-video-catalog.json"
"UCBnMenFpdXUw4v022CfkXMQ","BHS Realty Group","discovery_direct_video_only","0","0","0","offline discovery hit followed by authenticated direct-video retrieval attempt","direct_video_only","triage recommendation: direct_video_only","discovery","No eligible authenticated artifact was retained for the direct-video lane. The discovered video may be outside the audit window, unavailable, removed, private, or an extraction gap; this is not a finding and not a complete channel inventory.","discovery-gap-triage.tsv; authenticated-video-catalog.json"
